source,var,USDBRL,USDCLP,USDEUR
USD,2023-09-18,4.855203,886.619723,0.935255
USD,2023-09-19,4.867301,884.350185,0.93619
USD,2023-09-20,4.880297,882.598241,0.93885
USD,2023-09-21,4.9364,889.719802,0.93799
USD,2023-09-22,4.935904,894.203912,0.93705
USD,2023-09-23,4.919286,885.285989,0.93705
USD,2023-09-24,4.935404,894.840397,0.93915
USD,2023-09-25,4.969802,903.409698,0.944165
USD,2023-09-26,4.987696,904.098478,0.946145
USD,2023-09-27,5.043697,909.129666,0.95194
USD,2023-09-28,5.034296,905.399662,0.94677
USD,2023-09-29,5.032904,891.150396,0.944604
USD,2023-09-30,5.044254,901.487744,0.944604
USD,2023-10-01,5.044298,891.150207,0.94665
USD,2023-10-02,5.06303,908.580165,0.95417
USD,2023-10-03,5.167798,917.599964,0.95505
USD,2023-10-04,5.156103,915.330083,0.95178
USD,2023-10-05,5.1665,914.400119,0.94821
USD,2023-10-06,5.150104,909.691111,0.94335
USD,2023-10-07,5.143881,909.691111,0.94335
USD,2023-10-08,5.147203,923.500145,0.946404
USD,2023-10-09,5.136701,921.049638,0.945305
USD,2023-10-10,5.052504,929.196166,0.943005
USD,2023-10-11,5.051102,925.539906,0.941265
USD,2023-10-12,5.047402,936.679658,0.949095
USD,2023-10-13,5.079704,937.670396,0.95105
USD,2023-10-14,5.080704,938.403006,0.95105
USD,2023-10-15,5.049699,939.449969,0.95047
USD,2023-10-16,5.039102,947.080271,0.947505
USD,2023-10-17,5.038901,937.229582,0.94595
USD,2023-10-18,5.045401,940.019631,0.94844
